Timestamp,Position,Source
2014-01-01 12:00:00,1,Johannes
2016-10-12 12:00:00,NaN,Log
2016-11-04 11:00:00,2,Johannes
2017-01-09 12:00:00,NaN,
2017-01-19 12:00:00,2,
2017-02-04 12:00:00,NaN,
2017-03-23 12:00:00,2,
2017-07-13 14:00:00,1,Johannes
2017-11-01 12:00:00,1,
2017-12-08 12:00:00,NaN,
2018-02-09 15:30:00,2,Johannes
2018-06-20 11:00:00,1,Johannes
2018-10-04 13:00:00,2,Johannes
2019-04-25 12:00:00,NaN,
2019-05-23 12:30:00,3,Log(Rick)
2021-09-24 12:00:00,NaN,Move to Hollow (suspiciously timed)
2021-11-20 12:00:00,NaN,
2022-05-30 12:00:00,4,Log(current sensor/location)